feature_a,feature_b,ksg_mi_nats,ksg_r_info
Flow Duration,Bwd Packet Length Mean,1.0379850092508693,0.9351819638515831
Flow Duration,Bwd Packet Length Std,0.7479660791568503,0.8808861067550192
Flow Duration,Flow Bytes/s,1.66853737668335,0.9820688512884203
Flow Duration,Flow Packets/s,4.239585586650414,0.9998961191939856
Flow Duration,Flow IAT Mean,5.250587441810319,0.9999862478473271
Flow Duration,Flow IAT Std,3.0769222728354197,0.9989367871648607
Flow Duration,Flow IAT Max,4.699859352890943,0.9999586254747588
Flow Duration,Flow IAT Min,1.541790241251288,0.9768341749862157
Flow Duration,Fwd IAT Total,4.092689183277447,0.9998606408111053
Flow Duration,Fwd IAT Mean,2.3710158008268585,0.9956299961535949
Flow Duration,Fwd IAT Std,1.4179249599428152,0.9702223245250683
Flow Duration,Fwd IAT Max,1.990884946526073,0.9906298011851763
