ci_high,ci_low,group,metric,seed,value
0.3535672351717949,0.3390868343412876,DoS_Slowhttptest,silhouette_mean,0,0.3450631693005562
,,Bot,cov_trace,0,2.168078291723777
,,Bot,cov_logdet,0,-24.896926392408304
0.2937673330307007,0.273267213255167,Bot,silhouette_mean,0,0.2822315901517868
,,Web_Attack,cov_trace,0,1.4659941332109132
,,Web_Attack,cov_logdet,0,-23.021310352204498
0.20910826474428176,0.18158742561936378,Web_Attack,silhouette_mean,0,0.1942848488688469
,,Infiltration,cov_trace,0,1179.9891522778516
,,Infiltration,cov_logdet,0,4.949805354310703
0.8395660027861596,0.8337222844362259,Infiltration,silhouette_mean,0,0.836335363984108
,,DoS_Hulk_attempted,cov_trace,0,3.631934463377705
,,DoS_Hulk_attempted,cov_logdet,0,-17.129437646483257
0.3515475995838642,0.33242479637265204,DoS_Hulk_attempted,silhouette_mean,0,0.34139003306627275
,,DoS_GoldenEye_attempted,cov_trace,0,0.30612625130377347
,,DoS_GoldenEye_attempted,cov_logdet,0,-116.62347083406227
0.09959722198545932,0.06698111649602652,DoS_GoldenEye_attempted,silhouette_mean,0,0.08224919699132442
,,DoS_slowloris_attempted,cov_trace,0,0.3695935463546067
,,DoS_slowloris_attempted,cov_logdet,0,-36.77507944382084
0.6087017580866814,0.595486469566822,DoS_slowloris_attempted,silhouette_mean,0,0.6024616450071335
,,DoS_Slowhttptest_attempted,cov_trace,0,3.148092692565709
,,DoS_Slowhttptest_attempted,cov_logdet,0,-23.965115110443605
0.5149378061294556,0.4841868318617344,DoS_Slowhttptest_attempted,silhouette_mean,0,0.4995708778500557
,,Bot_attempted,cov_trace,0,0.00030726145594217846
,,Bot_attempted,cov_logdet,0,-135.3531299236686
0.5092884287238121,0.4918809972703457,Bot_attempted,silhouette_mean,0,0.5000604003667831
,,WebAttack_BruteForce,cov_trace,0,0.9054818119336443
,,WebAttack_BruteForce,cov_logdet,0,-28.089212116980967
0.2165651187300682,0.1884368970990181,WebAttack_BruteForce,silhouette_mean,0,0.20149896517395974
,,WebAttack_BruteForce_attempted,cov_trace,0,0.017120857735880103
,,WebAttack_BruteForce_attempted,cov_logdet,0,-61.841704553624695
0.5385601222515106,0.5213214293122291,WebAttack_BruteForce_attempted,silhouette_mean,0,0.5298209249973297
,,PortScan,cov_trace,1,0.25933711577802343
,,PortScan,cov_logdet,1,-27.926653465790583
0.31588581427931783,0.3018358662724495,PortScan,silhouette_mean,1,0.307833394408226
,,DoS_Hulk,cov_trace,1,1.1209928666969664
,,DoS_Hulk,cov_logdet,1,-19.168670620268898
0.5998063668608665,0.5850905179977417,DoS_Hulk,silhouette_mean,1,0.5914677858352662
,,DDoS,cov_trace,1,1.8149868086583674
,,DDoS,cov_logdet,1,-17.041740326240035
0.5789136454463005,0.5675659403204918,DDoS,silhouette_mean,1,0.5730668425559997
,,DoS_GoldenEye,cov_trace,1,6.431301067926554
,,DoS_GoldenEye,cov_logdet,1,-6.392283851518734
0.32688699588179587,0.30455315187573434,DoS_GoldenEye,silhouette_mean,1,0.31578775197267533
,,DoS_slowloris,cov_trace,1,4.277794639386922
,,DoS_slowloris,cov_logdet,1,-12.562082033533986
0.33202408254146576,0.31390874907374383,DoS_slowloris,silhouette_mean,1,0.32372389584779737
,,FTP_Patator,cov_trace,1,0.0037601460828991006
,,FTP_Patator,cov_logdet,1,-57.46858222822553
0.4920977406203747,0.472823029756546,FTP_Patator,silhouette_mean,1,0.48194815665483476
,,SSH_Patator,cov_trace,1,0.032636554808680336
,,SSH_Patator,cov_logdet,1,-36.80595681912414
0.467339701205492,0.44835676774382593,SSH_Patator,silhouette_mean,1,0.45793880373239515
,,DoS_Slowhttptest,cov_trace,1,6.005209892946912
,,DoS_Slowhttptest,cov_logdet,1,-6.636489997964562
0.35949724465608596,0.346017187088728,DoS_Slowhttptest,silhouette_mean,1,0.35194284915924073
,,Bot,cov_trace,1,1.793525979123055
,,Bot,cov_logdet,1,-22.615107536004942
0.22203212454915047,0.20047361366450786,Bot,silhouette_mean,1,0.20976186618208886
,,Web_Attack,cov_trace,1,2.0140624470305495
,,Web_Attack,cov_logdet,1,-17.842042450375367
0.2609023004770279,0.23008361384272574,Web_Attack,silhouette_mean,1,0.24383265301585197
,,Infiltration,cov_trace,1,1210.4921268717117
,,Infiltration,cov_logdet,1,2.350941059806608
0.8467697560787201,0.8405889704823494,Infiltration,silhouette_mean,1,0.8436178654432297
,,DoS_Hulk_attempted,cov_trace,1,5.6447440003367975
,,DoS_Hulk_attempted,cov_logdet,1,-16.314643944000487
0.2932567037642002,0.2724003203213215,DoS_Hulk_attempted,silhouette_mean,1,0.28240758180618286
,,DoS_GoldenEye_attempted,cov_trace,1,0.32968163172160914
