group,metric,seed,value
WebAttack_BruteForce,posterior_mahalanobis_mean,0,5.075740429577954
WebAttack_BruteForce,posterior_mahalanobis_median,0,4.935700828580893
WebAttack_BruteForce,posterior_mahalanobis_p25,0,4.489817071875679
WebAttack_BruteForce,posterior_mahalanobis_p75,0,5.760470068912113
WebAttack_BruteForce_attempted,posterior_mahalanobis_mean,0,3.912529309093514
WebAttack_BruteForce_attempted,posterior_mahalanobis_median,0,3.906021474633879
WebAttack_BruteForce_attempted,posterior_mahalanobis_p25,0,3.740523534586168
WebAttack_BruteForce_attempted,posterior_mahalanobis_p75,0,4.078681055776076
PortScan,posterior_mahalanobis_mean,1,2.76573930529689
PortScan,posterior_mahalanobis_median,1,2.693506284347297
PortScan,posterior_mahalanobis_p25,1,2.5074449426762255
PortScan,posterior_mahalanobis_p75,1,2.899929918513349
DoS_Hulk,posterior_mahalanobis_mean,1,5.4599370429975895
DoS_Hulk,posterior_mahalanobis_median,1,5.201497152604782
DoS_Hulk,posterior_mahalanobis_p25,1,4.747149559020907
DoS_Hulk,posterior_mahalanobis_p75,1,5.926059177382192
DDoS,posterior_mahalanobis_mean,1,6.380464667140036
DDoS,posterior_mahalanobis_median,1,6.261774957067382
DDoS,posterior_mahalanobis_p25,1,5.505588640491183
DDoS,posterior_mahalanobis_p75,1,7.138671748271566
DoS_GoldenEye,posterior_mahalanobis_mean,1,5.220491473951781
DoS_GoldenEye,posterior_mahalanobis_median,1,4.991024515712315
DoS_GoldenEye,posterior_mahalanobis_p25,1,4.058903132998596
DoS_GoldenEye,posterior_mahalanobis_p75,1,6.124924109542575
DoS_slowloris,posterior_mahalanobis_mean,1,4.598314226217333
DoS_slowloris,posterior_mahalanobis_median,1,4.997086821141592
DoS_slowloris,posterior_mahalanobis_p25,1,4.685916150360251
DoS_slowloris,posterior_mahalanobis_p75,1,5.157234828408052
FTP_Patator,posterior_mahalanobis_mean,1,2.8292019302022475
FTP_Patator,posterior_mahalanobis_median,1,2.8229979237543086
FTP_Patator,posterior_mahalanobis_p25,1,2.7046028432657754
FTP_Patator,posterior_mahalanobis_p75,1,2.9437145643337397
SSH_Patator,posterior_mahalanobis_mean,1,2.7434587760870763
SSH_Patator,posterior_mahalanobis_median,1,2.731799051099048
SSH_Patator,posterior_mahalanobis_p25,1,2.604906003440044
SSH_Patator,posterior_mahalanobis_p75,1,2.869517606300365
DoS_Slowhttptest,posterior_mahalanobis_mean,1,5.3916925730769
DoS_Slowhttptest,posterior_mahalanobis_median,1,5.382285950470989
DoS_Slowhttptest,posterior_mahalanobis_p25,1,4.901132564961982
DoS_Slowhttptest,posterior_mahalanobis_p75,1,5.686950191413588
Bot,posterior_mahalanobis_mean,1,2.9228744576260404
Bot,posterior_mahalanobis_median,1,2.549580214125367
Bot,posterior_mahalanobis_p25,1,2.4073028347127834
Bot,posterior_mahalanobis_p75,1,2.705649550904636
Web_Attack,posterior_mahalanobis_mean,1,4.005108343489392
Web_Attack,posterior_mahalanobis_median,1,4.1896859172170675
Web_Attack,posterior_mahalanobis_p25,1,3.562057212331008
Web_Attack,posterior_mahalanobis_p75,1,4.559309388637552
Infiltration,posterior_mahalanobis_mean,1,37.66159635995502
Infiltration,posterior_mahalanobis_median,1,4.965875529601709
Infiltration,posterior_mahalanobis_p25,1,4.12019142613375
Infiltration,posterior_mahalanobis_p75,1,12.301109707372074
DoS_Hulk_attempted,posterior_mahalanobis_mean,1,5.11545652502706
DoS_Hulk_attempted,posterior_mahalanobis_median,1,5.616394900501159
DoS_Hulk_attempted,posterior_mahalanobis_p25,1,3.183109249645428
DoS_Hulk_attempted,posterior_mahalanobis_p75,1,6.229220368171367
DoS_GoldenEye_attempted,posterior_mahalanobis_mean,1,2.843095858728266
DoS_GoldenEye_attempted,posterior_mahalanobis_median,1,2.7749104209718665
DoS_GoldenEye_attempted,posterior_mahalanobis_p25,1,2.6687233748368353
DoS_GoldenEye_attempted,posterior_mahalanobis_p75,1,2.9267338123255766
DoS_slowloris_attempted,posterior_mahalanobis_mean,1,4.245870102582902
DoS_slowloris_attempted,posterior_mahalanobis_median,1,4.289735068030014
DoS_slowloris_attempted,posterior_mahalanobis_p25,1,4.190223983849873
DoS_slowloris_attempted,posterior_mahalanobis_p75,1,4.390617169370531
DoS_Slowhttptest_attempted,posterior_mahalanobis_mean,1,4.934989006074569
DoS_Slowhttptest_attempted,posterior_mahalanobis_median,1,4.9608939760707145
DoS_Slowhttptest_attempted,posterior_mahalanobis_p25,1,4.907493343591247
DoS_Slowhttptest_attempted,posterior_mahalanobis_p75,1,5.013992819068823
Bot_attempted,posterior_mahalanobis_mean,1,2.703698285848468
Bot_attempted,posterior_mahalanobis_median,1,2.6981946370116976
Bot_attempted,posterior_mahalanobis_p25,1,2.5370832969892887
Bot_attempted,posterior_mahalanobis_p75,1,2.8504438132629364
WebAttack_BruteForce,posterior_mahalanobis_mean,1,4.072348656605172
WebAttack_BruteForce,posterior_mahalanobis_median,1,4.348607008291767
WebAttack_BruteForce,posterior_mahalanobis_p25,1,3.573097098902679
WebAttack_BruteForce,posterior_mahalanobis_p75,1,4.616920225051327
WebAttack_BruteForce_attempted,posterior_mahalanobis_mean,1,3.268678491176584
WebAttack_BruteForce_attempted,posterior_mahalanobis_median,1,3.2518026650370206
WebAttack_BruteForce_attempted,posterior_mahalanobis_p25,1,3.1085259097406728
WebAttack_BruteForce_attempted,posterior_mahalanobis_p75,1,3.4239183842318672
PortScan,posterior_mahalanobis_mean,2,4.09777170059842
PortScan,posterior_mahalanobis_median,2,4.04515010244941
PortScan,posterior_mahalanobis_p25,2,3.9037848374291197
PortScan,posterior_mahalanobis_p75,2,4.1985610403569975
DoS_Hulk,posterior_mahalanobis_mean,2,6.671233320133749
DoS_Hulk,posterior_mahalanobis_median,2,6.447912439940232
DoS_Hulk,posterior_mahalanobis_p25,2,6.046359189384447
DoS_Hulk,posterior_mahalanobis_p75,2,6.993490159889755
DDoS,posterior_mahalanobis_mean,2,7.5218918264821815
DDoS,posterior_mahalanobis_median,2,7.131168863218775
DDoS,posterior_mahalanobis_p25,2,6.303117740822904
DDoS,posterior_mahalanobis_p75,2,8.479004315722293
DoS_GoldenEye,posterior_mahalanobis_mean,2,6.477345313415754
DoS_GoldenEye,posterior_mahalanobis_median,2,6.354322836168204
DoS_GoldenEye,posterior_mahalanobis_p25,2,5.4398008881128845
DoS_GoldenEye,posterior_mahalanobis_p75,2,7.287664314838683
DoS_slowloris,posterior_mahalanobis_mean,2,5.612851116511378
DoS_slowloris,posterior_mahalanobis_median,2,5.88821739884973
DoS_slowloris,posterior_mahalanobis_p25,2,5.5952509220574544
DoS_slowloris,posterior_mahalanobis_p75,2,6.104955081878211
FTP_Patator,posterior_mahalanobis_mean,2,3.7865007772849775
FTP_Patator,posterior_mahalanobis_median,2,3.7819568271908617
FTP_Patator,posterior_mahalanobis_p25,2,3.6174346290071435
FTP_Patator,posterior_mahalanobis_p75,2,3.945976198082102
SSH_Patator,posterior_mahalanobis_mean,2,2.9708753027831274
SSH_Patator,posterior_mahalanobis_median,2,2.9542707934384436
SSH_Patator,posterior_mahalanobis_p25,2,2.8085105118403386
SSH_Patator,posterior_mahalanobis_p75,2,3.1039221652537035
DoS_Slowhttptest,posterior_mahalanobis_mean,2,6.498214749975394
DoS_Slowhttptest,posterior_mahalanobis_median,2,6.631027073597313
DoS_Slowhttptest,posterior_mahalanobis_p25,2,6.088797313150646
DoS_Slowhttptest,posterior_mahalanobis_p75,2,7.299677546248974
Bot,posterior_mahalanobis_mean,2,4.059959215112559
Bot,posterior_mahalanobis_median,2,3.589831901685248
Bot,posterior_mahalanobis_p25,2,3.4333439736194076
Bot,posterior_mahalanobis_p75,2,3.7727166175976414
Web_Attack,posterior_mahalanobis_mean,2,5.200005521084814
Web_Attack,posterior_mahalanobis_median,2,5.242450503526737
Web_Attack,posterior_mahalanobis_p25,2,4.655022070802957
Web_Attack,posterior_mahalanobis_p75,2,5.982808023036096
Infiltration,posterior_mahalanobis_mean,2,30.258317163358633
Infiltration,posterior_mahalanobis_median,2,6.409676820751458
Infiltration,posterior_mahalanobis_p25,2,5.287359879698619
Infiltration,posterior_mahalanobis_p75,2,11.497944651311057
DoS_Hulk_attempted,posterior_mahalanobis_mean,2,6.452209574910282
DoS_Hulk_attempted,posterior_mahalanobis_median,2,6.038904707579298
DoS_Hulk_attempted,posterior_mahalanobis_p25,2,4.471394074470293
DoS_Hulk_attempted,posterior_mahalanobis_p75,2,8.29179572961753
DoS_GoldenEye_attempted,posterior_mahalanobis_mean,2,4.08587941554679
DoS_GoldenEye_attempted,posterior_mahalanobis_median,2,4.0356975451493735
DoS_GoldenEye_attempted,posterior_mahalanobis_p25,2,3.8637038165003457
DoS_GoldenEye_attempted,posterior_mahalanobis_p75,2,4.170270736038332
DoS_slowloris_attempted,posterior_mahalanobis_mean,2,4.11439944186181
DoS_slowloris_attempted,posterior_mahalanobis_median,2,4.110175017428087
DoS_slowloris_attempted,posterior_mahalanobis_p25,2,3.992989350210565
DoS_slowloris_attempted,posterior_mahalanobis_p75,2,4.223494333523586
DoS_Slowhttptest_attempted,posterior_mahalanobis_mean,2,6.798996574118488
DoS_Slowhttptest_attempted,posterior_mahalanobis_median,2,6.967241749246051
DoS_Slowhttptest_attempted,posterior_mahalanobis_p25,2,6.809117407884422
DoS_Slowhttptest_attempted,posterior_mahalanobis_p75,2,7.091111267554676
Bot_attempted,posterior_mahalanobis_mean,2,4.146269351583791
Bot_attempted,posterior_mahalanobis_median,2,4.137114981211137
Bot_attempted,posterior_mahalanobis_p25,2,3.9883396990582423
Bot_attempted,posterior_mahalanobis_p75,2,4.296753043261519
WebAttack_BruteForce,posterior_mahalanobis_mean,2,5.483206149137916
WebAttack_BruteForce,posterior_mahalanobis_median,2,5.36107531058745
WebAttack_BruteForce,posterior_mahalanobis_p25,2,5.142922340692143
WebAttack_BruteForce,posterior_mahalanobis_p75,2,6.282089823279672
WebAttack_BruteForce_attempted,posterior_mahalanobis_mean,2,4.014500747769238
WebAttack_BruteForce_attempted,posterior_mahalanobis_median,2,4.00848364493247
WebAttack_BruteForce_attempted,posterior_mahalanobis_p25,2,3.875052947855662
WebAttack_BruteForce_attempted,posterior_mahalanobis_p75,2,4.144652052424105
PortScan,posterior_mahalanobis_mean,3,3.407583912092389
PortScan,posterior_mahalanobis_median,3,3.359369422053553
PortScan,posterior_mahalanobis_p25,3,3.200629714721848
PortScan,posterior_mahalanobis_p75,3,3.524349216418791
DoS_Hulk,posterior_mahalanobis_mean,3,3.870081299767847
DoS_Hulk,posterior_mahalanobis_median,3,3.6922428154587665
DoS_Hulk,posterior_mahalanobis_p25,3,3.4197435365502704
DoS_Hulk,posterior_mahalanobis_p75,3,4.177622351733811
DDoS,posterior_mahalanobis_mean,3,4.981467785214242
DDoS,posterior_mahalanobis_median,3,4.965757637239728
DDoS,posterior_mahalanobis_p25,3,4.2686724714375455
DDoS,posterior_mahalanobis_p75,3,5.661198597777315
DoS_GoldenEye,posterior_mahalanobis_mean,3,4.118911465459852
DoS_GoldenEye,posterior_mahalanobis_median,3,4.057723810944055
DoS_GoldenEye,posterior_mahalanobis_p25,3,3.5583745771318354
DoS_GoldenEye,posterior_mahalanobis_p75,3,4.604142146057243
DoS_slowloris,posterior_mahalanobis_mean,3,5.0346412912415435
DoS_slowloris,posterior_mahalanobis_median,3,5.323290320519746
DoS_slowloris,posterior_mahalanobis_p25,3,4.705039469068812
DoS_slowloris,posterior_mahalanobis_p75,3,5.611711058232609
FTP_Patator,posterior_mahalanobis_mean,3,3.7796052710306833
FTP_Patator,posterior_mahalanobis_median,3,3.7792221088620925
FTP_Patator,posterior_mahalanobis_p25,3,3.6244351103379464
FTP_Patator,posterior_mahalanobis_p75,3,3.9328339123044884
SSH_Patator,posterior_mahalanobis_mean,3,3.1633264839712742
SSH_Patator,posterior_mahalanobis_median,3,3.151302554445322
SSH_Patator,posterior_mahalanobis_p25,3,2.998187219131517
SSH_Patator,posterior_mahalanobis_p75,3,3.3218432237887887
DoS_Slowhttptest,posterior_mahalanobis_mean,3,4.9430696913820835
DoS_Slowhttptest,posterior_mahalanobis_median,3,4.93279154715804
DoS_Slowhttptest,posterior_mahalanobis_p25,3,4.448083229740473
DoS_Slowhttptest,posterior_mahalanobis_p75,3,5.3667442896572926
Bot,posterior_mahalanobis_mean,3,3.22937346658035
Bot,posterior_mahalanobis_median,3,2.8934175660401245
Bot,posterior_mahalanobis_p25,3,2.733148628079845
Bot,posterior_mahalanobis_p75,3,3.087752701503719
Web_Attack,posterior_mahalanobis_mean,3,5.557255084408484
Web_Attack,posterior_mahalanobis_median,3,5.452567654878518
Web_Attack,posterior_mahalanobis_p25,3,4.107042315396514
Web_Attack,posterior_mahalanobis_p75,3,7.2624654847563255
Infiltration,posterior_mahalanobis_mean,3,68.64147722376235
Infiltration,posterior_mahalanobis_median,3,4.7013924690371125
Infiltration,posterior_mahalanobis_p25,3,3.9770247072113354
Infiltration,posterior_mahalanobis_p75,3,13.858256171165722
DoS_Hulk_attempted,posterior_mahalanobis_mean,3,5.332857073460683
DoS_Hulk_attempted,posterior_mahalanobis_median,3,5.5806702973185365
DoS_Hulk_attempted,posterior_mahalanobis_p25,3,3.8948972276585456
DoS_Hulk_attempted,posterior_mahalanobis_p75,3,6.391386558541436
DoS_GoldenEye_attempted,posterior_mahalanobis_mean,3,3.533563978877166
DoS_GoldenEye_attempted,posterior_mahalanobis_median,3,3.461394165406916
DoS_GoldenEye_attempted,posterior_mahalanobis_p25,3,3.3272984419586464
DoS_GoldenEye_attempted,posterior_mahalanobis_p75,3,3.5506330998159887
DoS_slowloris_attempted,posterior_mahalanobis_mean,3,4.303815959604637
DoS_slowloris_attempted,posterior_mahalanobis_median,3,4.340051300072719
DoS_slowloris_attempted,posterior_mahalanobis_p25,3,4.2280595214140755
DoS_slowloris_attempted,posterior_mahalanobis_p75,3,4.448171611384524
DoS_Slowhttptest_attempted,posterior_mahalanobis_mean,3,5.735156479168607
DoS_Slowhttptest_attempted,posterior_mahalanobis_median,3,6.018941398500203
DoS_Slowhttptest_attempted,posterior_mahalanobis_p25,3,5.893736481695373
DoS_Slowhttptest_attempted,posterior_mahalanobis_p75,3,6.11152915595901
Bot_attempted,posterior_mahalanobis_mean,3,3.2786677832348174
Bot_attempted,posterior_mahalanobis_median,3,3.269747058986651
Bot_attempted,posterior_mahalanobis_p25,3,3.146942012830733
Bot_attempted,posterior_mahalanobis_p75,3,3.400321080512016
WebAttack_BruteForce,posterior_mahalanobis_mean,3,5.71422225182843
WebAttack_BruteForce,posterior_mahalanobis_median,3,5.502140746086562
WebAttack_BruteForce,posterior_mahalanobis_p25,3,4.327641432950879
WebAttack_BruteForce,posterior_mahalanobis_p75,3,7.243978984744581
WebAttack_BruteForce_attempted,posterior_mahalanobis_mean,3,3.8984468449108034
WebAttack_BruteForce_attempted,posterior_mahalanobis_median,3,3.89356026263678
WebAttack_BruteForce_attempted,posterior_mahalanobis_p25,3,3.741564781390283
WebAttack_BruteForce_attempted,posterior_mahalanobis_p75,3,4.055352654769381
PortScan,posterior_mahalanobis_mean,4,2.671626696390258
PortScan,posterior_mahalanobis_median,4,2.634853063630531
PortScan,posterior_mahalanobis_p25,4,2.4867906952996495
PortScan,posterior_mahalanobis_p75,4,2.7946089251651793
DoS_Hulk,posterior_mahalanobis_mean,4,6.095294405218452
DoS_Hulk,posterior_mahalanobis_median,4,5.764575171527151
DoS_Hulk,posterior_mahalanobis_p25,4,5.2155673943175875
DoS_Hulk,posterior_mahalanobis_p75,4,6.612743090348914
DDoS,posterior_mahalanobis_mean,4,7.307423285138794
DDoS,posterior_mahalanobis_median,4,6.921729862841448
DDoS,posterior_mahalanobis_p25,4,5.946929903624984
DDoS,posterior_mahalanobis_p75,4,8.361266718699701
DoS_GoldenEye,posterior_mahalanobis_mean,4,5.216128827116192
DoS_GoldenEye,posterior_mahalanobis_median,4,4.9599783169163745
DoS_GoldenEye,posterior_mahalanobis_p25,4,3.907736137808352
DoS_GoldenEye,posterior_mahalanobis_p75,4,6.1484946912775476
DoS_slowloris,posterior_mahalanobis_mean,4,3.8198493388609287
DoS_slowloris,posterior_mahalanobis_median,4,4.001883621760882
DoS_slowloris,posterior_mahalanobis_p25,4,3.7263550546493738
DoS_slowloris,posterior_mahalanobis_p75,4,4.234356323461112
FTP_Patator,posterior_mahalanobis_mean,4,2.583683830418484
FTP_Patator,posterior_mahalanobis_median,4,2.5783527859546167
FTP_Patator,posterior_mahalanobis_p25,4,2.4573197280265235
FTP_Patator,posterior_mahalanobis_p75,4,2.70560506484237
SSH_Patator,posterior_mahalanobis_mean,4,2.3789925778138956
SSH_Patator,posterior_mahalanobis_median,4,2.3679889714392583
SSH_Patator,posterior_mahalanobis_p25,4,2.2682019010280556
SSH_Patator,posterior_mahalanobis_p75,4,2.477347843196157
DoS_Slowhttptest,posterior_mahalanobis_mean,4,4.383132745075797
DoS_Slowhttptest,posterior_mahalanobis_median,4,4.317923561576616
DoS_Slowhttptest,posterior_mahalanobis_p25,4,4.147226937292248
DoS_Slowhttptest,posterior_mahalanobis_p75,4,4.628807656468525
Bot,posterior_mahalanobis_mean,4,2.8227478596682998
Bot,posterior_mahalanobis_median,4,2.5565635972668854
Bot,posterior_mahalanobis_p25,4,2.4096661385018914
Bot,posterior_mahalanobis_p75,4,2.714536954074987
Web_Attack,posterior_mahalanobis_mean,4,3.5353676584257943
Web_Attack,posterior_mahalanobis_median,4,3.610135215000618
Web_Attack,posterior_mahalanobis_p25,4,3.280762175757737
Web_Attack,posterior_mahalanobis_p75,4,3.826606790421729
Infiltration,posterior_mahalanobis_mean,4,60.56137466157413
Infiltration,posterior_mahalanobis_median,4,5.044892555116914
Infiltration,posterior_mahalanobis_p25,4,4.017835958192141
Infiltration,posterior_mahalanobis_p75,4,10.303321697753404
DoS_Hulk_attempted,posterior_mahalanobis_mean,4,5.2430113985489335
DoS_Hulk_attempted,posterior_mahalanobis_median,4,6.151799330250954
DoS_Hulk_attempted,posterior_mahalanobis_p25,4,2.820256458590541
DoS_Hulk_attempted,posterior_mahalanobis_p75,4,6.620977840012595
DoS_GoldenEye_attempted,posterior_mahalanobis_mean,4,2.586656024677784
DoS_GoldenEye_attempted,posterior_mahalanobis_median,4,2.5243104690099996
DoS_GoldenEye_attempted,posterior_mahalanobis_p25,4,2.4207285475593707
DoS_GoldenEye_attempted,posterior_mahalanobis_p75,4,2.653822204814465
DoS_slowloris_attempted,posterior_mahalanobis_mean,4,4.605821930336786
