auc_a,auc_b,diff,group,p_value,score_a,score_b,seed,z
0.9763411113834317,0.40953971732432826,0.5668013940591035,SSH_Patator,0.0,nll_mc,latent_maha,42,407.8974894967433
0.9763411113834317,0.9823937024465845,-0.006052591063152812,SSH_Patator,0.0,nll_mc,nll_mu,42,-51.99203368968327
0.9763411113834317,0.7986639324137655,0.17767717896966617,SSH_Patator,0.0,nll_mc,mse,42,185.7839195130112
0.990859189166782,0.9079462349693561,0.08291295419742584,DoS_Slowhttptest,0.0,nll_mc,latent_maha,42,52.34504378187595
0.990859189166782,0.9907795666806473,7.962248613468947e-05,DoS_Slowhttptest,0.014615952729600812,nll_mc,nll_mu,42,2.441757698530296
0.990859189166782,0.9349925403689076,0.055866648797874396,DoS_Slowhttptest,0.0,nll_mc,mse,42,24.72552344082255
0.6401584130722564,0.533058457925554,0.10709995514670245,Bot,0.0,nll_mc,latent_maha,42,81.93485572218427
0.6401584130722564,0.6448343930536798,-0.004675979981423439,Bot,0.0,nll_mc,nll_mu,42,-20.534840711930737
0.6401584130722564,0.6293844550806257,0.010773957991630723,Bot,0.0,nll_mc,mse,42,15.689493894675957
0.9449462686168957,0.836566137847344,0.10838013076955166,Web_Attack,0.0,nll_mc,latent_maha,42,11.939370016531695
0.9449462686168957,0.9444346606435061,0.0005116079733895607,Web_Attack,0.32474098517554184,nll_mc,nll_mu,42,0.9847620103744029
0.9449462686168957,0.8070500114448237,0.137896257172072,Web_Attack,0.0,nll_mc,mse,42,28.210586772629178
0.9927251258242443,0.9151391660397246,0.07758595978451976,Infiltration,2.4712188961828474e-08,nll_mc,latent_maha,42,5.575287153387903
0.9927251258242443,0.9927627172002044,-3.759137596004436e-05,Infiltration,0.745378387767319,nll_mc,nll_mu,42,-0.3247393005062667
0.9927251258242443,0.9324880260781055,0.06023709974613878,Infiltration,1.4248199291522212e-06,nll_mc,mse,42,4.821501019139935
0.9389878781297967,0.9264759666484846,0.012511911481312032,DoS_Hulk_attempted,0.0,nll_mc,latent_maha,42,11.557791313305652
0.9389878781297967,0.9357717877296885,0.0032160904001081736,DoS_Hulk_attempted,1.0396510319310437e-09,nll_mc,nll_mu,42,6.103200770052746
0.9389878781297967,0.8711569910393864,0.0678308870904103,DoS_Hulk_attempted,0.0,nll_mc,mse,42,22.536589183058084
0.8116181742107571,0.7709683437868371,0.04064983042392001,DoS_GoldenEye_attempted,0.0,nll_mc,latent_maha,42,18.39386273336588
0.8116181742107571,0.7944835724429818,0.01713460176777526,DoS_GoldenEye_attempted,0.0,nll_mc,nll_mu,42,8.400527869771642
0.8116181742107571,0.8535775926231388,-0.04195941841238171,DoS_GoldenEye_attempted,0.0,nll_mc,mse,42,-11.812659499079293
0.9725495827370386,0.8678990902349044,0.10465049250213421,DoS_slowloris_attempted,0.0,nll_mc,latent_maha,42,102.56808049380975
0.9725495827370386,0.9727789887785182,-0.0002294060414795851,DoS_slowloris_attempted,0.09046273005094418,nll_mc,nll_mu,42,-1.6929618450724786
0.9725495827370386,0.8493987688563271,0.12315081388071147,DoS_slowloris_attempted,0.0,nll_mc,mse,42,162.11606617606435
0.984906256736914,0.9358482094752065,0.04905804726170748,DoS_Slowhttptest_attempted,0.0,nll_mc,latent_maha,42,32.73505580894275
0.984906256736914,0.9857694312878352,-0.0008631745509212196,DoS_Slowhttptest_attempted,0.0,nll_mc,nll_mu,42,-10.837543023453426
0.984906256736914,0.8646784410520476,0.1202278156848664,DoS_Slowhttptest_attempted,0.0,nll_mc,mse,42,176.04845008943815
0.6138933852917255,0.7670310265069413,-0.15313764121521578,Bot_attempted,0.0,nll_mc,latent_maha,42,-153.13496314867712
0.6138933852917255,0.6128483660795074,0.0010450192122181123,Bot_attempted,4.226343208735273e-06,nll_mc,nll_mu,42,4.59992931705081
0.6138933852917255,0.7019668914954752,-0.08807350620374965,Bot_attempted,0.0,nll_mc,mse,42,-86.78815223843978
0.9625778164545588,0.8402456459913061,0.12233217046325262,WebAttack_BruteForce,0.0,nll_mc,latent_maha,42,11.641817619430052
0.9625778164545588,0.9626790614725379,-0.00010124501797914576,WebAttack_BruteForce,0.838103079757953,nll_mc,nll_mu,42,-0.20432046343413715
0.9625778164545588,0.8044406917475265,0.15813712470703223,WebAttack_BruteForce,0.0,nll_mc,mse,42,45.92537544338499
0.7520681281986297,0.5890346912611529,0.16303343693747674,WebAttack_BruteForce_attempted,0.0,nll_mc,latent_maha,42,148.2133363683081
0.7520681281986297,0.7475120616343456,0.004556066564284089,WebAttack_BruteForce_attempted,0.0,nll_mc,nll_mu,42,15.066096765819575
0.7520681281986297,0.8153042669785209,-0.0632361387798912,WebAttack_BruteForce_attempted,0.0,nll_mc,mse,42,-86.24463655614214
