ci_high,ci_low,group,metric,n_repeats,n_subsample_per_side,seed,value
0.34875106794708965,0.3279329624535988,Bot,mmd2_rbf,20,738,42,0.33844079630431123
0.8087569975016227,0.7363568284200169,Bot,sliced_wasserstein,20,738,42,0.7720560929953616
2.0646013077587044,1.9701791542204963,Bot,energy_distance,20,738,42,2.0173334898445856
0.4167209005797519,0.3849337530569326,Web_Attack,mmd2_rbf,20,190,42,0.39813173527681966
0.8702505207300695,0.7992571746033712,Web_Attack,sliced_wasserstein,20,190,42,0.8250393707763678
2.181817385069995,2.0591217208296926,Web_Attack,energy_distance,20,190,42,2.1092607466687405
0.41921443329593,0.38449569049287013,Infiltration,mmd2_rbf,20,32,42,0.3996072685433947
7.832241180637387,6.8711033785107976,Infiltration,sliced_wasserstein,20,32,42,7.330844911264253
7.96674107409277,7.814824922586904,Infiltration,energy_distance,20,32,42,7.88315985002401
0.4873077414096294,0.45915560088396384,DoS_Hulk_attempted,mmd2_rbf,20,579,42,0.47319636199834053
1.1322523273381624,1.031146947624602,DoS_Hulk_attempted,sliced_wasserstein,20,579,42,1.0744879534217113
3.0050325316557984,2.8993157685210216,DoS_Hulk_attempted,energy_distance,20,579,42,2.9516651601750725
0.5224588481352526,0.49067504174910814,DoS_GoldenEye_attempted,mmd2_rbf,20,80,42,0.5063455363599927
0.9569638202569304,0.8743131177067449,DoS_GoldenEye_attempted,sliced_wasserstein,20,80,42,0.9297193174316675
3.2073468655372506,3.0821099191606396,DoS_GoldenEye_attempted,energy_distance,20,80,42,3.145728030322397
0.6642993476337623,0.6408561419566361,DoS_slowloris_attempted,mmd2_rbf,20,1500,42,0.6539032416088151
1.2482920929927437,1.130334414001593,DoS_slowloris_attempted,sliced_wasserstein,20,1500,42,1.1801445683117948
4.443568451118187,4.307270160556817,DoS_slowloris_attempted,energy_distance,20,1500,42,4.388386217310705
0.6370495212051511,0.5881803680397895,DoS_Slowhttptest_attempted,mmd2_rbf,20,1500,42,0.6090113062313909
1.3378291442299104,1.1634008775663416,DoS_Slowhttptest_attempted,sliced_wasserstein,20,1500,42,1.2495850189690247
4.691027369983243,4.403867659731189,DoS_Slowhttptest_attempted,energy_distance,20,1500,42,4.548677488329669
0.6005828357842198,0.5769874703976887,Bot_attempted,mmd2_rbf,20,1470,42,0.5901311724462405
1.0317170524185548,0.9401795583003089,Bot_attempted,sliced_wasserstein,20,1470,42,0.9923279037318817
3.5471566820742897,3.3933614137305503,Bot_attempted,energy_distance,20,1470,42,3.4730186725830747
0.4886805145266456,0.4542603176076148,WebAttack_BruteForce,mmd2_rbf,20,151,42,0.468636062466209
0.9481246186793562,0.8819218410879609,WebAttack_BruteForce,sliced_wasserstein,20,151,42,0.9063770316650668
2.5688277148481995,2.444995303045656,WebAttack_BruteForce,energy_distance,20,151,42,2.4963163434432305
0.5289166772939786,0.5068569778349841,WebAttack_BruteForce_attempted,mmd2_rbf,20,1214,42,0.5184536080130038
0.9420683194404351,0.8476164265212337,WebAttack_BruteForce_attempted,sliced_wasserstein,20,1214,42,0.8932021795898553
2.905773434038016,2.8058075481694593,WebAttack_BruteForce_attempted,energy_distance,20,1214,42,2.85360500627013
