auc_a,auc_b,diff,family_a,family_b,p_holm,p_value,score,seed,z
0.9504773211887924,0.9763411113834317,-0.025863790194639358,DoS_GoldenEye,SSH_Patator,0.0,0.0,nll_mc,42,-32.43178369413081
0.9504773211887924,0.990859189166782,-0.040381867977989594,DoS_GoldenEye,DoS_Slowhttptest,0.0,0.0,nll_mc,42,-55.50373418254213
0.9504773211887924,0.6401584130722564,0.31031890811653595,DoS_GoldenEye,Bot,0.0,0.0,nll_mc,42,85.04214893334353
0.9504773211887924,0.9449462686168957,0.005531052571896677,DoS_GoldenEye,Web_Attack,1.0,0.34104391216005947,nll_mc,42,0.9521046477242802
0.9504773211887924,0.9927251258242443,-0.04224780463545197,DoS_GoldenEye,Infiltration,0.0,0.0,nll_mc,42,-21.19747093425654
0.9409420157543039,0.9299466288236996,0.010995386930604312,DoS_slowloris,FTP_Patator,1.734562513622251e-07,1.927291681802501e-08,nll_mc,42,5.618404233888464
0.9409420157543039,0.9763411113834317,-0.0353990956291278,DoS_slowloris,SSH_Patator,0.0,0.0,nll_mc,42,-17.668314199371217
0.9409420157543039,0.990859189166782,-0.04991717341247803,DoS_slowloris,DoS_Slowhttptest,0.0,0.0,nll_mc,42,-25.38518524241473
0.9409420157543039,0.6401584130722564,0.3007836026820475,DoS_slowloris,Bot,0.0,0.0,nll_mc,42,73.84432142353616
0.9409420157543039,0.9449462686168957,-0.004004252862591762,DoS_slowloris,Web_Attack,1.0,0.511103049892276,nll_mc,42,-0.657121104325069
0.9409420157543039,0.9927251258242443,-0.05178311006994041,DoS_slowloris,Infiltration,0.0,0.0,nll_mc,42,-19.156260702989016
0.9299466288236996,0.9763411113834317,-0.04639448255973211,FTP_Patator,SSH_Patator,0.0,0.0,nll_mc,42,-64.45111481055835
0.9299466288236996,0.990859189166782,-0.060912560343082345,FTP_Patator,DoS_Slowhttptest,0.0,0.0,nll_mc,42,-91.65889441199154
0.9299466288236996,0.6401584130722564,0.2897882157514432,FTP_Patator,Bot,0.0,0.0,nll_mc,42,79.93087179379552
0.9299466288236996,0.9449462686168957,-0.014999639793196073,FTP_Patator,Web_Attack,0.03864510274432931,0.009661275686082327,nll_mc,42,-2.5877225739172864
0.9299466288236996,0.9927251258242443,-0.06277849700054472,FTP_Patator,Infiltration,0.0,0.0,nll_mc,42,-31.852249488897943
0.9763411113834317,0.990859189166782,-0.014518077783350236,SSH_Patator,DoS_Slowhttptest,0.0,0.0,nll_mc,42,-19.124087624084087
0.9763411113834317,0.6401584130722564,0.3361826983111753,SSH_Patator,Bot,0.0,0.0,nll_mc,42,91.5162434457631
0.9763411113834317,0.9449462686168957,0.031394842766536035,SSH_Patator,Web_Attack,5.478136824166313e-07,6.847671030207891e-08,nll_mc,42,5.395122781748477
0.9763411113834317,0.9927251258242443,-0.01638401444081261,SSH_Patator,Infiltration,2.6645352591003757e-15,2.220446049250313e-16,nll_mc,42,-8.166830813728925
0.990859189166782,0.6401584130722564,0.35070077609452555,DoS_Slowhttptest,Bot,0.0,0.0,nll_mc,42,95.83039893579894
0.990859189166782,0.9449462686168957,0.04591292054988627,DoS_Slowhttptest,Web_Attack,2.930988785010413e-14,2.6645352591003757e-15,nll_mc,42,7.904165699158074
0.990859189166782,0.9927251258242443,-0.0018659366574623748,DoS_Slowhttptest,Infiltration,1.0,0.3430456775409563,nll_mc,42,-0.9481645765495347
0.6401584130722564,0.9449462686168957,-0.3047878555446393,Bot,Web_Attack,0.0,0.0,nll_mc,42,-44.699737573562246
0.6401584130722564,0.9927251258242443,-0.3525667127519879,Bot,Infiltration,0.0,0.0,nll_mc,42,-85.9206729817811
0.9449462686168957,0.9927251258242443,-0.047778857207348646,Web_Attack,Infiltration,4.6629367034256575e-14,4.6629367034256575e-15,nll_mc,42,-7.835468549458422
0.6599956467769855,0.9076701640894413,-0.24767451731245582,PortScan,DoS_Hulk,0.0,0.0,neg_elbo,42,-329.2705851783728
0.6599956467769855,0.9698076368507291,-0.3098119900737436,PortScan,DDoS,0.0,0.0,neg_elbo,42,-373.1017037993223
0.6599956467769855,0.9499687700753628,-0.2899731232983773,PortScan,DoS_GoldenEye,0.0,0.0,neg_elbo,42,-310.35031028956337
0.6599956467769855,0.9381468078170975,-0.27815116104011195,PortScan,DoS_slowloris,0.0,0.0,neg_elbo,42,-130.503422266012
0.6599956467769855,0.9212532942435688,-0.2612576474665833,PortScan,FTP_Patator,0.0,0.0,neg_elbo,42,-321.55131827946985
0.6599956467769855,0.9698332015186797,-0.30983755474169417,PortScan,SSH_Patator,0.0,0.0,neg_elbo,42,-295.8911870692316
0.6599956467769855,0.989880330978453,-0.32988468420146744,PortScan,DoS_Slowhttptest,0.0,0.0,neg_elbo,42,-330.764911026531
0.6599956467769855,0.6071045997673176,0.05289104700966796,PortScan,Bot,0.0,0.0,neg_elbo,42,13.501290855098443
0.6599956467769855,0.9399396822849161,-0.27994403550793057,PortScan,Web_Attack,0.0,0.0,neg_elbo,42,-46.02862728597642
0.6599956467769855,0.9919404844283697,-0.33194483765138416,PortScan,Infiltration,0.0,0.0,neg_elbo,42,-148.08743007064342
0.9076701640894413,0.9698076368507291,-0.06213747276128778,DoS_Hulk,DDoS,0.0,0.0,neg_elbo,42,-163.6664305395791
0.9076701640894413,0.9499687700753628,-0.0422986059859215,DoS_Hulk,DoS_GoldenEye,0.0,0.0,neg_elbo,42,-72.70821526820481
0.9076701640894413,0.9381468078170975,-0.030476643727656128,DoS_Hulk,DoS_slowloris,0.0,0.0,neg_elbo,42,-14.84825556592566
0.9076701640894413,0.9212532942435688,-0.013583130154127487,DoS_Hulk,FTP_Patator,0.0,0.0,neg_elbo,42,-56.19811195538658
0.9076701640894413,0.9698332015186797,-0.062163037429238344,DoS_Hulk,SSH_Patator,0.0,0.0,neg_elbo,42,-82.64737091045936
