detect_metric,geometry_metric,kendall_tau,n_families,seed,spearman_rho
tpr_at_fpr5,mahalanobis_median,0.2727272727272727,11,42,0.33636363636363636
auc_roc,mahalanobis_median_robust_mcd,0.38181818181818183,11,42,0.5090909090909091
auc_pr,mahalanobis_median_robust_mcd,-0.018181818181818184,11,42,0.018181818181818184
tpr_at_fpr5,mahalanobis_median_robust_mcd,0.41818181818181815,11,42,0.5545454545454546
auc_roc,mahalanobis_p25,0.41818181818181815,11,42,0.5363636363636364
auc_pr,mahalanobis_p25,0.45454545454545453,11,42,0.6454545454545455
tpr_at_fpr5,mahalanobis_p25,0.38181818181818183,11,42,0.46363636363636374
auc_roc,mahalanobis_p5,0.2,11,42,0.3272727272727273
auc_pr,mahalanobis_p5,0.5272727272727272,11,42,0.7272727272727273
tpr_at_fpr5,mahalanobis_p5,0.0909090909090909,11,42,0.18181818181818182
auc_roc,mahalanobis_p75,0.45454545454545453,11,42,0.5272727272727273
auc_pr,mahalanobis_p75,0.34545454545454546,11,42,0.5
tpr_at_fpr5,mahalanobis_p75,0.41818181818181815,11,42,0.46363636363636374
auc_roc,mahalanobis_p95,0.34545454545454546,11,42,0.46363636363636374
auc_pr,mahalanobis_p95,0.16363636363636364,11,42,0.3454545454545455
tpr_at_fpr5,mahalanobis_p95,0.45454545454545453,11,42,0.5
auc_roc,mean_posterior_variance_sum,-0.5272727272727272,11,42,-0.6090909090909091
auc_pr,mean_posterior_variance_sum,0.23636363636363636,11,42,0.29090909090909095
tpr_at_fpr5,mean_posterior_variance_sum,-0.41818181818181815,11,42,-0.5909090909090909
auc_roc,mmd2_rbf,-0.2,11,42,-0.20909090909090913
auc_pr,mmd2_rbf,0.6363636363636364,11,42,0.7545454545454545
tpr_at_fpr5,mmd2_rbf,-0.3090909090909091,11,42,-0.39090909090909093
auc_roc,neighborhood_purity_mean,0.05454545454545454,11,42,0.05454545454545456
auc_pr,neighborhood_purity_mean,-0.34545454545454546,11,42,-0.44545454545454555
tpr_at_fpr5,neighborhood_purity_mean,0.018181818181818184,11,42,0.0
auc_roc,neighborhood_purity_median,0.42640143271122083,11,42,0.5
auc_pr,neighborhood_purity_median,-0.08528028654224418,11,42,-0.10000000000000002
tpr_at_fpr5,neighborhood_purity_median,0.25584085962673253,11,42,0.30000000000000004
auc_roc,posterior_mahalanobis_mean,0.41818181818181815,11,42,0.5
auc_pr,posterior_mahalanobis_mean,0.3090909090909091,11,42,0.48181818181818187
tpr_at_fpr5,posterior_mahalanobis_mean,0.45454545454545453,11,42,0.4727272727272727
auc_roc,posterior_mahalanobis_median,0.3090909090909091,11,42,0.39090909090909093
auc_pr,posterior_mahalanobis_median,0.34545454545454546,11,42,0.5636363636363637
tpr_at_fpr5,posterior_mahalanobis_median,0.34545454545454546,11,42,0.39090909090909093
auc_roc,posterior_mahalanobis_p25,0.3090909090909091,11,42,0.41818181818181827
auc_pr,posterior_mahalanobis_p25,0.4909090909090909,11,42,0.7181818181818183
tpr_at_fpr5,posterior_mahalanobis_p25,0.34545454545454546,11,42,0.41818181818181827
auc_roc,posterior_mahalanobis_p75,0.41818181818181815,11,42,0.5
auc_pr,posterior_mahalanobis_p75,0.3090909090909091,11,42,0.48181818181818187
tpr_at_fpr5,posterior_mahalanobis_p75,0.45454545454545453,11,42,0.4727272727272727
auc_roc,silhouette_mean,0.0909090909090909,11,42,0.14545454545454548
auc_pr,silhouette_mean,0.2727272727272727,11,42,0.3454545454545455
tpr_at_fpr5,silhouette_mean,-0.0909090909090909,11,42,-0.11818181818181818
