auc_pr,auc_pr_ci_high,auc_pr_ci_low,auc_pr_ci_method,auc_roc,auc_roc_ci_high,auc_roc_ci_low,auc_roc_ci_method,fpr_realized_on_test_benign_at_fpr1,fpr_realized_on_test_benign_at_fpr10,fpr_realized_on_test_benign_at_fpr5,group,n_neg,n_pos,pauc_mcclish_fpr0.10,prevalence,score,seed,tpr_at_fpr1,tpr_at_fpr10,tpr_at_fpr5,tpr_at_tau_p95
0.8668846675170403,0.953656736175102,0.9243439353254566,bootstrap_subsampled_max1500_per_side,0.9696149273922168,0.9701628805613781,0.9690669742230554,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,DDoS,248561,95123,0.8401083552984822,0.27677459526774595,nll_mu,42,0.1446232772305331,0.9998212840217403,0.7937197102698611,
0.8583364548934008,0.950185533000973,0.9187426679298657,bootstrap_subsampled_max1500_per_side,0.9682583925183148,0.9688211117301138,0.9676956733065158,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,DDoS,248561,95123,0.832981431690583,0.27677459526774595,nll_mc,42,0.12697244620123418,0.999547953702049,0.7749860706664004,0.7749860706664004
0.8675456386385558,0.9541162967513807,0.9249060899975873,bootstrap_subsampled_max1500_per_side,0.9698076359202553,0.9703461606845784,0.9692691111559323,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,DDoS,248561,95123,0.8411707543369302,0.27677459526774595,neg_elbo,42,0.15252883109237514,0.998812064379803,0.7987447830703405,
0.4843417326759818,0.696770184724652,0.6567047702133808,bootstrap_subsampled_max1500_per_side,0.837296609695508,0.8386875968931776,0.8359056224978384,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,DDoS,248561,95123,0.4739968877698508,0.27677459526774595,mse,42,1.0512704603513346e-05,0.002039464693081589,0.0004415335933475605,
0.901547383933698,0.9657170624549642,0.9407938616668573,bootstrap_subsampled_max1500_per_side,0.9715528334486278,0.9720161187419193,0.9710895481553362,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,DDoS,248561,95123,0.8594318987196359,0.27677459526774595,latent_maha,42,0.415535674863072,0.923982633011995,0.8105084995216719,
0.36830644707045773,0.9401339214451659,0.9149931833759425,bootstrap_subsampled_max1500_per_side,0.9511711406361824,0.9523008650951498,0.9500414161772149,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,DoS_GoldenEye,248561,7567,0.7586943577234107,0.02954382183908046,nll_mu,42,0.28254261926787366,0.9148936170212766,0.47614642526760936,
0.37031072198010384,0.9398641045271929,0.9144337969231021,bootstrap_subsampled_max1500_per_side,0.9504773211887922,0.9516280079965023,0.9493266343810822,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,DoS_GoldenEye,248561,7567,0.7566856282756353,0.02954382183908046,nll_mc,42,0.28677150786308975,0.9003568124752214,0.4783930223338179,0.4783930223338179
0.3520491456008382,0.939417868386973,0.9139576581995724,bootstrap_subsampled_max1500_per_side,0.9499687676828417,0.9511504074138815,0.9487871279518019,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,DoS_GoldenEye,248561,7567,0.7578425726103275,0.02954382183908046,neg_elbo,42,0.2732919254658385,0.8809303554909476,0.5105061451037399,
0.1061102638538057,0.7817605323942429,0.7385063474859085,bootstrap_subsampled_max1500_per_side,0.8560348678211556,0.8578117198751734,0.8542580157671378,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,DoS_GoldenEye,248561,7567,0.5360207195970286,0.02954382183908046,mse,42,0.09818950707017313,0.1444429760803489,0.12356283864146954,
0.19483803505092612,0.8640205016868053,0.825096705671736,bootstrap_subsampled_max1500_per_side,0.8920055088576566,0.8944918931377182,0.8895191245775951,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,DoS_GoldenEye,248561,7567,0.6707476786948018,0.02954382183908046,latent_maha,42,0.13757103211312277,0.5242500330381922,0.4198493458437954,
0.5799467579864053,0.9503976991656089,0.9338944175670916,bootstrap_subsampled_max1500_per_side,0.9410374302437844,0.9447611106514402,0.9373137498361286,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,DoS_slowloris,248561,4001,0.8863075547403398,0.015841654722404796,nll_mu,42,0.7253186703324169,0.8305423644088977,0.8065483629092727,
0.5800405709188444,0.9503023667492781,0.933778610670801,bootstrap_subsampled_max1500_per_side,0.9409420117321521,0.9446901461658843,0.9371938772984199,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,DoS_slowloris,248561,4001,0.8872265947180082,0.015841654722404796,nll_mc,42,0.7250687328167958,0.8302924268932766,0.8132966758310423,0.8132966758310423
0.5868198445397527,0.9486772653307837,0.9320762699349329,bootstrap_subsampled_max1500_per_side,0.9381468002755629,0.9420905479505619,0.9342030526005638,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,DoS_slowloris,248561,4001,0.8866022900825214,0.015841654722404796,neg_elbo,42,0.7238190452386903,0.8300424893776556,0.8117970507373157,
0.12666287301743137,0.867460925491504,0.8282317346521013,bootstrap_subsampled_max1500_per_side,0.8972758042581276,0.9002902500659018,0.8942613584503534,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,DoS_slowloris,248561,4001,0.6927918244496976,0.015841654722404796,mse,42,0.05098725318670332,0.4873781554611347,0.4838790302424394,
0.48769234666950345,0.9294234015593755,0.9117841412704561,bootstrap_subsampled_max1500_per_side,0.9198864977734107,0.9241331935019432,0.9156398020448782,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,DoS_slowloris,248561,4001,0.83358067148928,0.015841654722404796,latent_maha,42,0.5418645338665333,0.7200699825043739,0.7105723569107723,
0.09944955378402687,0.8286772770362205,0.7824480301219456,bootstrap_subsampled_max1500_per_side,0.9327101424543696,0.9337073818855542,0.9317129030231849,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,FTP_Patator,248561,3973,0.6473054446054811,0.015732535024986734,nll_mu,42,0.0,0.9962245154794865,0.003523785552479235,
0.09597988283094788,0.8234585002543837,0.7773440692193003,bootstrap_subsampled_max1500_per_side,0.9299466116090824,0.9309667917949362,0.9289264314232286,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,FTP_Patator,248561,3973,0.6329775263422899,0.015732535024986734,nll_mc,42,0.0,0.9959728165114523,0.0005033979360684622,0.0005033979360684622
0.08642630773408068,0.8055909429963096,0.7588971632483104,bootstrap_subsampled_max1500_per_side,0.921253290699383,0.9223323868650003,0.9201741945337657,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,FTP_Patator,248561,3973,0.587682080305487,0.015732535024986734,neg_elbo,42,0.0,0.9848980619179462,0.0,
0.039634830758149345,0.6594404783706671,0.623670169496264,bootstrap_subsampled_max1500_per_side,0.8089972602663377,0.8105420711420211,0.8074524493906542,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,FTP_Patator,248561,3973,0.47368421052631576,0.015732535024986734,mse,42,0.0,0.0,0.0,
0.017195453711546137,0.475211752581299,0.45256616337829203,bootstrap_subsampled_max1500_per_side,0.5467134003287686,0.5486685781753216,0.5447582224822156,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,FTP_Patator,248561,3973,0.47368421052631576,0.015732535024986734,latent_maha,42,0.0,0.0,0.0,
