criterion,variant,dataset,column,threshold,n_edges,n_groups,n_dropped,final_size,edges_shared_with_P,n_ambiguous,anadidas_vs_51,quitadas_vs_51
G_consenso,B10&B20&B50,EDA,gauss_ratio_min_B,1.0,408,14,41,33,45.0,3,Bwd IAT Min; Bwd Packet Length Std; Fwd IAT Min; Fwd URG Flags,Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd Packets/s; ECE Flag Count; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Min; Fwd Seg Size Min; Idle Min; Protocol; SYN Flag Count; Total Fwd Packet; Total Length of Fwd Packet
R,B20,EDA,spearman_abs,0.95,58,13,26,48,15.0,0,ACK Flag Count; Bwd Header Length; Bwd IAT Min; Bwd Packet Length Mean; Bwd Packet Length Std; Fwd Header Length; Fwd IAT Min; Total Bwd packets; Total Length of Bwd Packet,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Flow IAT Max; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Packet Length Mean; Packet Length Min
Robusto,7 medidas IM,EDA,robusto_min,1.0,66,9,20,54,15.0,0,ACK Flag Count; Bwd Header Length; Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean; Total Length of Bwd Packet,Bwd IAT Mean; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packet Length Max; Packet Length Min
Recomendado,P + restauradas + robustas,EDA,robusto_min,1.0,23,2,28,46,0.0,3,Total Length of Bwd Packet,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Packet Length Min
L_ksg,KSG50k,EDA,ksg_r_info,0.95,351,7,32,42,45.0,0,Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Subflow Fwd Bytes,Active Max; Active Min; Bwd IAT Max; Bwd IAT Mean; Bwd Packets/s; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd IAT Std; Fwd Packet Length Max; Fwd Packet Length Mean; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
P,B20,train_benign,pearson_abs,0.95,47,11,20,54,44.0,1,Bwd IAT Min; Bwd Packet Length Max; Bwd Packet Length Std; Fwd IAT Min,Bwd IAT Std
L,B20,train_benign,r_info,0.95,109,6,24,50,23.0,0,ACK Flag Count; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd Header Length; Fwd URG Flags; Idle Max; Idle Mean; Total Bwd packets,Bwd IAT Mean; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet
L_cal,B20,train_benign,r_info,0.9413966274520271,122,5,28,46,24.0,0,ACK Flag Count; Bwd IAT Min; Bwd PSH Flags; Bwd Packet Length Std; Bwd Packet/Bulk Avg; Fwd IAT Min; Fwd URG Flags; Idle Max; Idle Mean,Bwd IAT Mean; Bwd Packet Length Min; Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd IAT Mean; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Mean; Packet Length Min; Total Length of Fwd Packet
S,B20,train_benign,nmi_max,0.36277530974817007,231,15,52,22,34.0,0,,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Max; Bwd IAT Std; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FIN Flag Count; FWD Init Win Bytes; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Act Data Pkts; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd PSH Flags; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Length of Fwd Packet
G,B20,train_benign,gauss_ratio,1.0,462,15,48,26,46.0,2,Bwd IAT Min; Fwd URG Flags,Active Max; Active Mean; Active Min; Active Std; Bwd Bulk Rate Avg; Bwd IAT Mean; Bwd IAT Std; Bwd Packet Length Min; Bwd Packets/s; ECE Flag Count; FWD Init Win Bytes; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd IAT Std; Fwd PSH Flags; Fwd Packet Length Min; Fwd Seg Size Min; Idle Min; PSH Flag Count; Packet Length Mean; Packet Length Min; Protocol; SYN Flag Count; Total Fwd Packet
